CODE,자재비 기준,노무비 기준,DESCRIPTION,SIZE,UNIT,Q'TY, MATERIAL COST ,, LABOR COST ,, EQUIPMENT COST ,, TOTAL  , REMARKS 
,,,,,,, UNIT , AMOUNT , UNIT , AMOUNT , UNIT , AMOUNT , AMOUNT ,
CONF54700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"54mm (2"")x700L",EA,1,49400,49400,44663,44663,,,94063,
CONF70700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"70mm (21/2"")x700L",EA,1,95380,95380,51232,51232,,,146612,
CONF82700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"82mm (3"")x700L",EA,1,132480,132480,57800,57800,,,190280,
CONF104700,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"104mm (4"")x700L",EA,1,188100,188100,70936,70936,,,259036,
CONF161000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"16mm (1/2"")x1000L",EA,1,11680,11680,14450,14450,,,26130,
CONF221000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"22mm (3/4"")x1000L",EA,1,15840,15840,19376,19376,,,35216,
CONF281000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"28mm (1"")x1000L",EA,1,21920,21920,23645,23645,,,45565,
CONF361000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"36mm (11/4"")x1000L",EA,1,30860,30860,28571,28571,,,59431,
CONF421000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"42mm (11/2"")x1000L",EA,1,39640,39640,34154,34154,,,73794,
CONF541000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"54mm (2"")x1000L",EA,1,54780,54780,44663,44663,,,99443,
CONF701000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"70mm (21/2"")x1000L",EA,1,103740,103740,51232,51232,,,154972,
CONF821000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"82mm (3"")x1000L",EA,1,141370,141370,57800,57800,,,199170,
CONF1041000,납품업체단가,전-5-1⑦,FLEXIBLE COUPLING Ex d IIC(TUBE:SUS304/CONN':BRASS W/NICKEL),"104mm (4"")x1000L",EA,1,202640,202640,70936,70936,,,273576,
CONFCP16500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"16mm (1/2"")x500L",EA,1,18590,18590,14450,14450,,,33040,
CONFCP122500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"22mm (3/4"")x500L",EA,1,22880,22880,19376,19376,,,42256,
CONFCP28500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"28mm (1"")x500L",EA,1,31200,31200,23645,23645,,,54845,
CONFCP36500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"36mm (11/4"")x500L",EA,1,44200,44200,28571,28571,,,72771,
CONFCP42500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"42mm (11/2"")x500L",EA,1,55900,55900,34154,34154,,,90054,
CONFCP54500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"54mm (2"")x500L",EA,1,74750,74750,44663,44663,,,119413,
CONFCP70500,납품업체단가,전-5-1⑦,COMPOSITION CONNECTOR(PACKING TYPE CABLE GLAND)(TUBE:SUS304/GLAND:BRASS W/NICKEL),"70mm (21/2"")x500L",EA,1,163800,163800,51232,51232,,,215032,
